cntry,objectid,nutsid,region,Ruerate,Rgdp,Rforeign,Rtech,Rpopdens
BE,444,BE1,22,15.70,52763,0.2852162,-0.565927629,6242.226708
BE,432,BE2,21,4.83,26663,0.0494339,0.936511071,446.8432092
BE,467,BE3,23,10.90,19313,0.0987709,-0.031041743,201.5282816
DE,481,DE1,48,5.35,29138,0.122147484,2.597629833,298.6609511
DE,482,DE2,49,5.53,30500,0.094315326,2.868175362,175.9316796
DE,1462,DE3,411,17.14,22538,0.130082805,0.411404974,3806.980891
DE,1465,DE4,412,16.40,18200,0.024938296,-0.128391024,87.19479001
DE,1460,DE5,44,12.13,35438,0.121423298,-0.767776114,1638.429238
DE,1458,DE6,42,8.95,43625,0.151247449,-0.363570002,2301.948426
DE,478,DE7,46,7.08,31463,0.116085258,0.976335444,135.5776666
DE,1511,DE8,413,19.05,17888,0.019968441,-0.446077146,74.49530305
DE,1527,DE9,43,8.34,22888,0.066964447,1.073625831,167.4695209
DE,433,DEA,45,8.43,25838,0.110128067,3.687144435,529.4885984
DE,457,DEB,47,6.53,22788,0.076108663,0.11558793,204.1605034
DE,479,DEC,410,8.15,24750,0.083337553,-0.726161624,411.1154801
DE,434,DED,414,16.83,19013,0.025132339,0.503597576,234.295196
DE,441,DEE,415,18.73,18250,0.018098322,-0.281425015,122.7991991
DE,1510,DEF,41,8.28,22963,0.054694144,-0.22624665,178.7523941
DE,435,DEG,416,14.83,18275,0.018670168,-0.216266364,146.0701008
IE,428,IE011,101,5.77,21988,0.061669649,-0.714399362,36.91868301
IE,1655,IE012,102,4.18,20775,0.055699134,-0.714814891,36.20975078
IE,775,IE013,103,4.38,22375,0.071372589,-0.716012365,27.86742522
IE,1676,IE021,104,4.03,43688,0.090886065,-0.057697329,1256.38129
IE,1738,IE022,105,3.37,25063,0.064337353,-0.060384853,74.48263559
IE,784,IE023,106,4.65,26988,0.060089927,-0.057314252,43.24794644
IE,802,IE024,107,5.43,24750,0.057594399,-0.052531922,48.16887669
IE,927,IE025,108,4.12,37500,0.065596798,-0.057160411,49.45338674
ES,697,ES11,611,10.53,18625,0.014114989,-0.278182613,91.66270708
ES,633,ES12,612,9.41,20213,0.012468509,-0.680392298,99.96379191
ES,634,ES13,613,8.50,22438,0.016184822,-0.804612103,103.2480549
ES,692,ES21,621,8.18,28963,0.016428778,-0.109856286,290.6227762
ES,643,ES22,622,5.53,28738,0.043671705,-0.746709916,55.5337571
ES,696,ES23,623,6.13,24750,0.046494062,-0.882484667,57.76222477
ES,669,ES24,624,5.83,24450,0.028625525,-0.595957358,25.99185446
ES,680,ES30,630,7.15,29950,0.067503242,1.330387372,715.9500644
ES,713,ES41,641,9.49,21513,0.016420898,-0.309930897,26.22509418
ES,14,ES42,642,9.48,17813,0.024490136,-0.614844462,23.23623032
ES,13,ES43,643,15.73,15338,0.011844465,-0.765155992,25.63710159
ES,668,ES51,651,8.44,27163,0.049915394,1.057456191,209.4244574
ES,58,ES52,652,9.99,21175,0.055405003,0.166101758,192.039169
ES,661,ES61,661,16.40,17450,0.025119271,0.679821609,87.18438615
ES,59,ES62,662,9.95,19100,0.058077262,-0.667382468,113.6292938
FR,458,FR1,81,8.28,38538,0.11498963,3.853773581,948.4176427
FR,998,Frest,82,8.55,21313,0.035536266,-0.652816833,63.35973784
FR,999,Frouest,83,7.66,21529,0.026891093,-0.560923607,83.33730828
FR,443,FR3,84,12.51,19775,0.029222063,-0.160510493,323.2847931
FR,485,FR4,85,7.75,21613,0.052850193,0.269030913,109.7808162
FR,656,FR5,86,7.15,21713,0.012884354,0.881681441,95.83650757
FR,716,FR6,87,8.05,22113,0.034738689,0.720745617,62.96975493
FR,658,FR7,88,7.30,24150,0.048573756,1.010392263,104.1738941
FR,717,FR8,89,10.80,21813,0.061606933,0.801633168,111.2438811
NL,945,NL11,1111,4.98,36938,0.022300894,-0.774828671,193.111899
NL,955,NL12,1112,3.84,23938,0.020411752,-0.802898276,111.4059416
NL,1471,NL13,1113,4.14,23138,0.018376102,-0.840919173,179.9744436
NL,1431,NL21,1121,3.53,25488,0.026881996,-0.653831166,323.2262591
NL,1446,NL22,1122,3.14,24975,0.025714082,-0.341922171,382.5890369
NL,1472,NL23,1123,4.36,22088,0.038026375,-0.853516999,148.8161011
NL,1442,NL31,1131,2.86,35638,0.042489375,-0.465805947,804.2546836
NL,1489,NL32,1132,3.38,34188,0.044719427,0.053580489,632.9718151
NL,1490,NL33,1133,3.69,30238,0.048847305,0.190104489,1009.327778
