cntry,objectid,nutsid,region,Ruerate,Rgdp,Rforeign,Rtech,Rpopdens
NL,1480,NL34,1134,2.68,26550,0.050865184,-0.87075872,129.1269337
NL,1561,NL41,1141,3.04,29563,0.033752879,-0.179943881,473.3684503
NL,1580,NL42,1142,4.03,26363,0.043177511,-0.644236891,514.1818779
AT,372,AT11,11,4.56,18613,0.042740573,-0.911799838,70.13273806
AT,329,AT12,13,3.71,22600,0.057888779,-0.638884922,81.62971392
AT,327,AT13,19,7.84,38113,0.160157613,-0.392481943,3903.745629
AT,463,AT21,12,3.80,23475,0.053684466,-0.844326475,58.64419243
AT,440,AT22,16,3.78,23950,0.043237912,-0.681352663,72.86911457
AT,357,AT31,14,3.24,27075,0.066083916,-0.658869945,116.0788493
AT,459,AT32,15,2.79,31463,0.09250388,-0.84036333,72.84536979
AT,450,AT33,17,2.73,28888,0.087784693,-0.800929104,54.2813043
AT,333,AT34,18,3.78,29175,0.126425193,-0.881054765,137.7718248
PT,682,PT11,131,7.36,13975,0.009227347,-0.543680919,174.2543962
PT,660,PT15,135,5.75,19613,0.060791766,-0.911430377,81.46877621
PT,8,PT16,132,4.44,14800,0.01111412,-0.682991448,83.88472868
PT,64,PT17,133,7.73,24700,0.045380396,-0.325813082,944.7469586
PT,61,PT18,134,8.39,16263,0.012530383,-0.875100869,24.29765612
FI,1687,FI13,73,11.89,19038,0.008405682,-0.776995888,7.84959352
FI,1604,FI18,71,6.64,29725,0.018128233,0.164948554,56.95924407
FI,1686,FI19,72,8.41,22988,0.010650518,-0.510693075,20.54375537
FI,1601,FI1A,74,11.08,22250,0.008198192,-0.747316121,4.464278382
SE,743,SE01,141,4.82,37750,0.072743874,-0.05302607,276.2466721
SE,745,SE02,142,6.08,23675,0.040220048,-0.458498525,36.50350976
SE,738,SE09,147,4.65,24575,0.030666501,-0.762376104,22.48490769
SE,740,SE04,143,6.87,24625,0.043654362,-0.4992241,90.84360779
SE,737,SE0A,148,5.37,26563,0.044502969,-0.331394306,57.92709413
SE,1603,SE06,144,6.82,23825,0.029763272,-0.750570931,11.89237299
SE,1685,SE07,145,6.38,25350,0.020526695,-0.859561661,4.821318015
SE,1683,SE08,146,6.67,25238,0.033035813,-0.801212058,3.082079746
UK,1449,UKC,91,6.56,20838,0.028053862,-0.387407607,296.3259354
UK,1459,UKD,92,5.26,23113,0.043752655,0.795581208,481.6301674
UK,1522,UKE,93,5.26,22800,0.050649531,0.262171889,328.0889402
UK,1523,UKF,94,4.78,23800,0.068835509,0.148193562,274.7505054
UK,1524,UKG,95,5.66,23238,0.065264401,0.345680536,409.8545348
UK,1528,UKH,97,4.13,25375,0.081289134,0.683374258,288.537527
UK,421,UKI,98,6.95,44025,0.269859611,1.917110022,4721.397231
UK,445,UKJ,99,3.93,28725,0.081934531,1.741746192,426.4225992
UK,436,UKK,96,3.65,24575,0.05236771,0.467353945,211.3984417
UK,420,UKL,910,5.19,20188,0.029725706,-0.244745308,141.6631518
UK,1506,UKM,911,5.42,25488,0.032034312,0.645229651,65.15659877
UK,1508,UKN,912,4.98,21300,0.04226146,-0.558305876,121.4718314
NO,1605,NO01,121,3.58,38575,0.071362445,-0.410346476,190.404696
NO,1602,NO02,122,3.52,38575,0.025319056,-0.865460481,7.070447344
NO,734,NO03,123,3.74,38575,0.03571178,-0.689953002,24.24326105
NO,735,NO04,124,3.45,38575,0.03820604,-0.757312606,25.47681824
NO,1698,NO05,125,3.28,38575,0.027456416,-0.692796556,16.24990983
NO,1684,NO06,126,3.54,38575,0.023486593,-0.809512607,9.714707799
NO,1600,NO07,127,4.03,38575,0.033663958,-0.818482082,4.097377805
CH,486,CH01,31,5.50,30650,0.276562611,-0.383691762,155.4033262
CH,453,CH02,32,3.93,30650,0.160930808,-0.328951605,167.568739
CH,359,CH0304,33,3.77,30650,0.220882297,-0.437695539,615.7863708
CH,451,CH05,35,3.33,30650,0.173595021,-0.615493518,91.76676222
CH,454,CH06,36,2.77,30650,0.137237286,-0.664916981,156.508179
CH,456,CH07,37,5.47,30650,0.256770497,-0.801757147,113.3887471
DK,399,DK001,51,5.78,27875,0.108782428,1.005803473,125.4707337
DK,424,DK002,52,4.52,27875,0.067124034,1.006590049,125.4707337
DK,413,DK003,53,3.92,27875,0.047550229,1.008658435,125.4707337
DK,388,DK004,54,3.97,27875,0.040049397,1.007889162,125.4707337
DK,381,DK005,55,5.72,27875,0.034910316,1.003411952,125.4707337
DK,430,DK006,56,6.10,27875,0.030990677,1.006788356,125.4707337
DK,403,DK007,57,9.72,27875,0.03014096,1.002788477,125.4707337
DK,431,DK008,58,6.42,27875,0.038742628,1.009781425,125.4707337
DK,406,DK009,59,5.47,27875,0.040703024,1.008229207,125.4707337
DK,402,DK00A,510,4.57,27875,0.035572031,1.005108813,125.4707337
DK,407,DK00B,511,5.13,27875,0.037976895,1.004979111,125.4707337
DK,383,DK00C,512,4.42,27875,0.031277763,1.006690484,125.4707337
DK,382,DK00D,513,6.10,27875,0.043372456,1.005602995,125.4707337
DK,392,DK00E,514,4.48,27875,0.024854545,1.005419803,125.4707337
DK,365,DK00F,515,7.60,27875,0.029407901,1.011354305,125.4707337
